,Code,Wilaya
0,1,Adrar
1,2,Chlef
2,3,Laghouat
3,4,Oum El Bouaghi
4,5,Batna
5,6,Béjaïa
6,7,Biskra
7,8,Béchar
8,9,Blida
9,10,Bouira
10,11,Tamanrasset
11,12,Tébessa
12,13,Tlemcen
13,14,Tiaret
14,15,Tizi-Ouzou
15,16,Alger
16,17,Djelfa
17,18,Jijel
18,19,Sétif
19,20,Saida
20,21,Skikda
21,22,Sidi-Bel-Abbès
22,23,Annaba
23,24,Guelma
24,25,Constantine
25,26,Médéa
26,27,Mostaganem
27,28,M'Sila
28,29,Mascara
29,30,Ouargla
30,31,Oran
31,32,El-Bayadh
32,33,Illizi
33,34,Bordj-Bou-Arreridj
34,35,Boumerdès
35,36,El-Tarf
36,37,Tindouf
37,38,Tissemsilt
38,39,El-Oued
39,40,Khenchela
40,41,Souk-Ahras
41,42,Tipaza
42,43,Mila
43,44,Aïn-Defla
44,45,Naâma
45,46,Aïn-Témouchent
46,47,Ghardaia
47,48,Relizane
